Community,City-Size,Federation Name ,Notes
AKRON,5SmallFed,Jewish Community Board of Akron,
ANN ARBOR,3Inter,Jewish Federation of Greater Ann Arbor,
ARKANSAS,5SmallFed,Jewish Federation of Arkansas,
ATLANTA,1Large,Jewish Federation of Greater Atlanta,
ATLANTIC & CAPE MAY COUNTIES,5SmallFed,Jewish Federation of Atlantic & Cape May Counties,
AUGUSTA GA,5SmallFed,Augusta Jewish Federation,
AUSTIN,3Inter,Shalom Austin,
BALTIMORE,1Large,The Associated: Jewish Community Federation of Baltimore,
BATON ROUGE,5SmallFed,Jewish Federation of Greater Baton Rouge,
BERKSHIRE COUNTY,5SmallFed,The Jewish Federation of the Berkshires,
BIRMINGHAM,3Inter,Birmingham Jewish Federation,
BLUEGRASS,5SmallFed,Jewish Federation of the Bluegrass,
BOSTON,1Large,Combined Jewish Philanthropies of Greater Boston,
BROWARD COUNTY,2LrgeInter,Jewish Federation of Broward County,
BUFFALO,3Inter,Jewish Federation of Greater Buffalo,
CALGARY AB,3Inter,Calgary Jewish Federation,
CENTRAL MA,5SmallFed,Jewish Federation of Central Massachusetts ,
CENTRAL NY,3Inter,Jewish Federation of Central New York,
CHAMPAIGN-URBANA,5SmallFed,Champaign-Urbana Jewish Federation,
CHARLESTON SC,5SmallFed,Charleston Jewish Federation,
CHARLOTTE,3Inter,Jewish Federation of Greater Charlotte,
CHATTANOOGA,5SmallFed,Jewish Federation of Greater Chattanooga,
CHICAGO,1Large,Jewish United Fund/Jewish Federation of Metropolitan Chicago,
CINCINNATI,2LrgeInter,Jewish Federation of Cincinnati,
CLEVELAND,1Large,Jewish Federation of Cleveland,
COLORADO,2LrgeInter,JEWISHcolorado,
COLUMBIA SC,5SmallFed,Columbia Jewish Federation,
COLUMBUS,2LrgeInter,Jewish Federation of Columbus,
CUMBERLAND COUNTY,5SmallFed,"Jewish Federation of Cumberland, Gloucester & Salem Counties",
DALLAS,2LrgeInter,Jewish Federation of Greater Dallas,
DAYTON,5SmallFed,"Jewish Federation of Greater Dayton, Inc.",
DELAWARE,3Inter,Jewish Federation of Delaware,
DES MOINES,5SmallFed,Jewish Federation of Greater Des Moines,
